Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
162245230705934|Q|YHGJ|.712|1|.9221|1|R|102076090|0||||N||0||||162245230694523||| 
162410907453059|Q|YHGJ|.7156|1|.9221|1|R|102097742|0||||N||0||||162410907441250||| 
162410907455921|Q|YHGJ|.7156|1|.9183|1|R|102097743|0||||N||0||||162410907444530||| 
035900094205220|K|YXT|0|0|0|0|L|981|1||||N||0||||035900091661000||| 
035900186165515|Z|YXT|0|0|0|0|L|2282|1||||N||0||||035900185799000||| 
040000001189275|H|YXT|0|0|0|0|R|3344|1||||N||0||||040000000860933||| 
040000011846566|K|YXT|.4|205|.991|1|R|3938|4||||N||0||||040000000035000||| 
040000034626929|P|YXT|0|0|2.45|50|R|7104|0||||N||0||||040000034277270||| 
040000034628443|P|YXT|0|0|1.2|2|R|7105|0||||N||0||||040000034277578||| 
040000034628527|P|YXT|.8|10|1.2|2|R|7106|3||||N||0||||040000034278225||| 
040500135284655|P|YXT|.8|10|1.04|1|R|154041|0||||N||0||||040500134948380||| 
040524049690509|Q|YXT|.3883|1|0|0|R|162806|0||||N||0||||040524049677715||| 
040524049692499|Q|YXT|.3883|1|1.55|1|R|162807|0||||N||0||||040524049680374||| 
040524050401614|Q|YXT|.3883|1|1.54|1|R|162809|0||||N||0||||040524050389741||| 
040524050403299|Q|YXT|.3883|2|1.54|1|R|162810|0||||N||0||||040524050390748||| 
040524051990091|P|YXT|.76|1|1.04|1|R|162811|3||||N||0||||040524051651448||| 
040524052843117|P|YXT|0|0|1.04|1|R|162812|3||||N||0||||040524052506955||| 
040524054221775|Q|YXT|.8|10|1.54|1|R|162813|3||||N||0||||040524054208412||| 
040524155586121|P|YXT|.76|1|1.04|1|R|162844|0||||N||0||||040524155249034||| 
040946318957253|Q|YXT|.8|10|1.08|1|R|259666|0||||N||0||||040946318945582||| 
040946676590496|Q|YXT|.8|10|1.07|1|R|259719|0||||N||0||||040946676579270||| 
060444225501504|K|YXT|.4|205|.991|1|R|1432794|0||||N||0||||060444225320000||| 
060446368749856|K|YXT|.4|205|.991|1|R|1433212|0||||N||0||||060446368569000||| 
065800126241990|Y|YXT|0|0|0|0|L|1813989|0||||N||0||||065800125909000||| 
070000005170104|K|YXT|.4|205|.98|2|R|1831688|2||||N||0||||070000000274000||| 
070000006294606|Q|YXT|.8|10|1.06|1|R|1831760|0||||N||0||||070000006282251||| 
070000055537566|P|YXT|.76|1|1.2|2|R|1834485|0||||N||0||||070000055200080||| 
070000175551720|P|YXT|.76|1|1.02|1|R|1836741|0||||N||0||||070000175215896||| 
070001961209370|U|YXT|0|0|1.07|1|R|1844261|0||||N||0||||070001961037099||| 
070003869574806|K|YXT|.4|205|.98|2|R|1845991|0||||N||0||||070003869393000||| 
070006938727360|K|YXT|.4707|50|.98|2|R|1848404|0||||N||0||||070006938548000||| 
070008720125248|U|YXT|0|0|1.04|10|R|1849989|0||||N||0||||070008719955951||| 
070008767443569|K|YXT|.4707|50|.9709|10|R|1849998|3||||N||0||||070008767264000||| 
070008768126491|Q|YXT|.8|10|1.05|1|R|1849999|0||||N||0||||070008768114556||| 
070008773390831|U|YXT|.9225|10|1.04|10|R|1850022|3||||N||0||||070008773221833||| 
070008773457599|Q|YXT|.8395|1|1.05|1|R|1850023|0||||N||0||||070008773446170||| 
070008774048042|Q|YXT|.8437|1|1.05|1|R|1850027|0||||N||0||||070008774036867||| 
070008855589628|P|YXT|0|0|1.02|1|R|1850078|0||||N||0||||070008855251403||| 
070008975543754|P|YXT|.8825|1|1.02|1|R|1850168|0||||N||0||||070008975207916||| 
075344627344901|U|YXT|.9225|10|1.07|1|R|2863440|0||||N||0||||075344627174214||| 
075344627469064|U|YXT|.9225|10|1.04|10|R|2863441|0||||N||0||||075344627300713||| 
075407799579686|K|YXT|.4707|50|.98|2|R|2875207|3||||N||0||||075407799401000||| 
075407799724741|K|YXT|.4707|50|.9709|10|R|2875208|3||||N||0||||075407799543000||| 
075408597415869|K|YXT|.4707|50|.9709|10|R|2875322|0||||N||0||||075408597237000||| 
075408597568214|K|YXT|.4707|50|.9709|10|R|2875323|0||||N||0||||075408597387000||| 
075417726657360|U|YXT|0|0|1.04|10|R|2879535|3||||N||0||||075417726487965||| 
075417726803088|U|YXT|.9225|10|1.04|10|R|2879536|3||||N||0||||075417726634799||| 
075417727195124|Q|YXT|.8395|1|1.05|1|R|2879539|0||||N||0||||075417727182901||| 
075417727549535|P|YXT|.4111|50|1.02|1|R|2879540|0||||N||0||||075417727210270||| 
075417727551245|Q|YXT|.8437|1|1.05|1|R|2879541|0||||N||0||||075417727539996||| 
075417855667030|P|YXT|.8825|1|1.02|1|R|2879561|0||||N||0||||075417855331231||| 
075419843912329|K|YXT|.4404|50|.9709|10|R|2879998|0||||N||0||||075419843735000||| 
075419844059496|K|YXT|.4707|50|.9709|10|R|2879999|0||||N||0||||075419843881000||| 
075447062375293|Q|YXT|.8437|1|1.05|2|R|2903826|0||||N||0||||075447062363470||| 
075554542116205|Q|YXT|.8395|1|1.05|2|R|2927256|0||||N||0||||075554542104562||| 
075554542117276|Q|YXT|.8395|1|1.05|1|R|2927257|0||||N||0||||075554542105685||| 
075554543491805|Q|YXT|.8437|1|1.05|1|R|2927264|0||||N||0||||075554543480433||| 
075554543495817|Q|YXT|.8437|1|1.05|2|R|2927265|0||||N||0||||075554543484622||| 
081135579962487|P|YXT|.8825|2|1.02|1|R|3622176|0||||N||0||||081135579626813||| 
081135579986687|P|YXT|.8825|2|1.02|2|R|3622177|0||||N||0||||081135579650796||| 
081214946578280|P|YXT|.8825|2|1.02|1|R|3653928|0||||N||0||||081214946240224||| 
081214946642744|P|YXT|.8825|1|1.02|1|R|3653930|0||||N||0||||081214946306497||| 
081215719893849|P|YXT|.8825|2|1.02|1|R|3654850|0||||N||0||||081215719555736||| 
081215719898234|P|YXT|.8825|2|1.02|2|R|3654851|0||||N||0||||081215719561524||| 
081246017256505|P|YXT|.8825|1|1.02|2|R|3675689|0||||N||0||||081246016919948||| 
081246017401234|P|YXT|.8825|1|1.02|1|R|3675690|0||||N||0||||081246017065167||| 
081306843488533|P|YXT|.8825|2|1.02|1|R|3692335|0||||N||0||||081306843151728||| 
081306843507682|P|YXT|.8825|2|1.02|2|R|3692336|0||||N||0||||081306843167420||| 
082949028377996|P|YXT|.8825|1|1.02|2|R|4329230|0||||N||0||||082949028039826||| 
082949028386677|P|YXT|.8825|1|1.02|1|R|4329231|0||||N||0||||082949028049629||| 
082949109775032|P|YXT|.4111|50|1.02|1|R|4329563|0||||N||0||||082949109437044||| 
082949114330585|P|YXT|.4111|50|1.17|10|R|4329617|0||||N||0||||082949113994607||| 
083041008624977|P|YXT|.8825|1|1.17|10|R|4371664|0||||N||0||||083041008288020||| 
083041008630710|P|YXT|.8825|1|1.02|1|R|4371665|0||||N||0||||083041008293187||| 
091350057943455|Q|YXT|.8437|1|1.05|1|R|6228284|0||||N||0||||091350057930818||| 
091350059934974|Q|YXT|.8|10|1.05|1|R|6228332|0||||N||0||||091350059923162||| 
091350075044877|Q|YXT|.8|10|1.26|1|R|6228699|0||||N||0||||091350075033813||| 
